adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/bkENfmxUY3UYsRLizJAhF5IQPvS.jpg,"[28, 80, 53]",1025596,en,Blood for Dust,"Reckless Ricky makes serious money dealing illegal weapons throughout the tri-state area and loves to flaunt it. Traveling salesman Cliff, covers the same territory Ricky runs guns through. Desperate to find some financial relief for his struggling family, Cliff agrees to partner with Ricky, to commit cross-state drug and gun deliveries for a mid-level American cartel boss John. When a simple exchange turns into a bloodbath after Ricky kills everyone in a territory grab, the pair find themselves in a pressure cooker situation where unlikely drug dealer Cliff must fight as hard as he can to stay alive.",390.025,/nvaCnkl8RilLhVAQXPFei0tqkqW.jpg,2024-04-19,Blood for Dust,False,5.8,45
False,/bkENfmxUY3UYsRLizJAhF5IQPvS.jpg,"[28, 80, 53]",1025596,en,Blood for Dust,"Reckless Ricky makes serious money dealing illegal weapons throughout the tri-state area and loves to flaunt it. Traveling salesman Cliff, covers the same territory Ricky runs guns through. Desperate to find some financial relief for his struggling family, Cliff agrees to partner with Ricky, to commit cross-state drug and gun deliveries for a mid-level American cartel boss John. When a simple exchange turns into a bloodbath after Ricky kills everyone in a territory grab, the pair find themselves in a pressure cooker situation where unlikely drug dealer Cliff must fight as hard as he can to stay alive.",390.025,/nvaCnkl8RilLhVAQXPFei0tqkqW.jpg,2024-04-19,Blood for Dust,False,5.8,45
False,/aFDYcmwEWRiEh58Ri1tMpCUWPBp.jpg,"[10770, 10751, 35, 27, 16]",1354627,en,SpongeBob Squarepants: Kreepaway Kamp,"While at Kamp Koral for a reunion, SpongeBob and the gang are stalked by a mysterious figure lurking in the shadows as campers start disappearing one by one!",501.765,/blRsgsexoBqnjcEJkV8beKAVT6J.jpg,2024-10-10,SpongeBob Squarepants: Kreepaway Kamp,False,7.116,43
False,/hLYH6wbi3Mgscdv2KuYcTdWGlUV.jpg,"[80, 28]",824003,it,Diabolik chi sei?,"Captured by a ruthless gang of bank robbers, foes Diabolik and Ginko find themselves facing certain death. While Eva Kant and Altea forge an unlikely alliance to rescue their lovers, Diabolik reveals his mysterious past to the Inspector.",517.931,/1DAXwi4y941ryPoGbzUlFEEiPAo.jpg,2023-11-30,Diabolik - Who Are You?,False,6.3,96
False,/hPIWQT70wQK6akqfLXByEvr62u0.jpg,"[28, 53, 27, 878]",726139,ko,탈출: 프로젝트 사일런스,"Due to sudden deteriorating weather conditions, visibility on the Airport Bridge is severely impaired, leaving people stranded and at risk of the bridge collapsing due to a series of chain collisions and explosions. Amidst the chaos, the canine subjects ""Echo"" from the military experiment ""Project Silence,"" who were being transported in secret, break free, and all human survivors become targets of relentless attacks.",496.467,/fttoFfKikQMwIoV3UVvlCvBhbUw.jpg,2024-07-11,Project Silence,False,7.0,208
False,,"[18, 10749]",1149912,id,Kelas Bintang - Hot Moms,,476.356,/7dBqZmErtrxN9ghOJoW6SimgDo1.jpg,2023-02-09,Kelas Bintang - Hot Moms,False,6.0,3
False,/lntyt4OVDbcxA1l7LtwITbrD3FI.jpg,"[10749, 18]",1010581,es,Culpa mía,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",451.755,/w46Vw536HwNnEzOa7J24YH9DPRS.jpg,2023-06-08,My Fault,False,7.916,3022
False,/p4INKu77iuTG1o1a5N3Y9vqeEGq.jpg,"[27, 53]",1079485,en,Winnie-the-Pooh: Blood and Honey 2,"Five months following the murders, Christopher Robin struggles to maintain a regular life while dealing with PTSD. However, deep within the 100-Acre-Wood, a destructive rage grows as Pooh, Piglet, Owl, and Tigger find their home and their lives endangered after their existence is revealed.",464.854,/2sADrLwMQof6yYmrJRSa04tFZuS.jpg,2024-03-26,Winnie-the-Pooh: Blood and Honey 2,False,6.198,262
False,/hu6bwaSRG8GZwH3yEVtRxrgAnjq.jpg,"[16, 10751, 35, 10402, 10770]",929563,en,Big City Greens the Movie: Spacecation,"When thrill-seeker Cricket tricks his family into taking a ""road trip"" in space, chaos in the cosmos quickly ensues. Despite growing frustrations between Cricket and his dad, Bill, the two must learn to appreciate each other's unique perspectives in order to prevent Big City from being destroyed by an interstellar disaster.",446.604,/wV0nNtlL0nxgse8llRi7SypkCQI.jpg,2024-06-06,Big City Greens the Movie: Spacecation,False,8.2,16
False,/2fxnTXr8NwyTFkunkimJkGkhqfy.jpg,"[18, 28, 27]",1118031,es,Apocalipsis Z: el principio del fin,"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.",513.814,/hSmOrZl8ON2aJk6xvjNgVQiPdCP.jpg,2024-10-04,Apocalypse Z: The Beginning of the End,False,6.6,159
